gene,result,expression_change_percent,expression_change_log(FC),p_value,tissue,organism,sex,line,age,age_units,measurement_method,expression_evaluation_by,measurement_taken,duration,training_regimen,participants,experiment_groups_quantity,reference
INPP5J,increase,,0.329543729494591,0.00194286323794884,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
INPP5K,increase,,0.134150128715896,0.0133031696053894,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
INPPL1,decrease,,-0.126774541087001,0.0107700401830883,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
INSR,decrease,,-0.160191977527892,0.00697964467754891,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
IPMK,decrease,,-0.336031729509632,0.00245144402287988,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
IPO5,decrease,,-0.225530442137872,3.00379731381888e-05,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
IPO7,decrease,,-0.264768161319801,2.280690104614e-05,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
IPP,decrease,,-0.171506763915845,0.0044563346260172,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
IQCB1,decrease,,-0.201247201761422,0.0116930871583571,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
IQCK,increase,,0.204333198263076,0.0133905845453765,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
IQSEC1,increase,,0.265084558003155,1.70328812984726e-05,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
IQSEC3,increase,,0.584148460431879,7.77434468210262e-07,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
IREB2,decrease,,-0.211740208309293,0.00157170552388626,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
IRF2,decrease,,-0.210030831964407,0.000998127875791474,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
IRF2BPL,increase,,0.220913040839981,0.00621492586826638,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
IRF7,increase,,0.339731575915295,0.000362726209531031,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
IRF8,increase,,0.941573709158177,1.34029755525211e-06,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
IRS2,decrease,,-0.39054488622552,0.0092860163839114,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
ISCA2,increase,,0.304444657373287,5.00044059203851e-06,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
ISCU,increase,,0.195394463885129,0.000283439091618809,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
ISG15,increase,,0.37496363991599,0.00192725035338475,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
ISM1,increase,,0.52287483526796,0.000348838833771066,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
ISOC1,increase,,0.307035762332504,5.27096978385891e-06,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
ISOC2,increase,,0.237378743739461,0.000578490496105222,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
ITGA1,increase,,0.335837511493619,0.000482773258540702,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
ITGA10,increase,,0.485650662956823,0.000291432517319534,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
ITGA5,increase,,0.466213827329076,5.30957327210284e-08,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
ITGA6,increase,,0.497448322347025,5.1236166166806e-09,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
ITGA9,increase,,0.275152837694554,0.00123446902529374,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
ITGAD,decrease,,-0.453807630987003,0.00349371622410818,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
ITGAL,increase,,0.469464108436332,0.0031749327863531,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
ITGAM,increase,,0.437195629073524,0.002537181041874,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
ITGAX,increase,,0.427740841179881,0.0132606654620428,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
ITGB1BP2,increase,,0.496689559810026,1.62937363421816e-11,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
ITGB2,increase,,0.414938220384647,0.00409192313971032,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
ITGB5,increase,,0.172770527510911,0.00386163085136807,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
ITGB6,decrease,,-0.16921255708846,0.0111128274819474,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
ITIH3,decrease,,-0.519755363742922,0.00257682720982494,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
ITIH4,decrease,,-0.671234803744187,3.30677031545303e-06,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
ITIH5,increase,,0.173394558343997,0.00771236728983203,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
ITIH6,decrease,,-0.397475841585114,0.00551371051860133,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
ITM2A,increase,,0.580261692575614,5.11401460051854e-23,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
ITM2C,increase,,0.400932797493258,4.09442412106837e-08,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
ITPA,increase,,0.218751986453749,0.00236007405936104,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
ITPKB,increase,,0.455513221717458,1.66753271740275e-12,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
ITPR1,increase,,0.266933332281314,0.00444536260392222,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
ITPRIP,increase,,0.254789995240903,0.00144676581398137,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
ITPRIPL1,increase,,0.653508489188417,0.000150609352244104,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
IVD,increase,,0.155514185592793,0.00198128358118604,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
JAG1,increase,,0.216527625054762,0.00207442579397101,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
JAK2,decrease,,-0.496127329567256,1.45866227070083e-06,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
JAKMIP3,decrease,,-0.3607056387904,0.00894026214000353,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
JAM2,increase,,0.360751931918151,5.19749764115185e-05,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
JAM3,increase,,0.255377558985189,0.00243130072163606,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
JARID2,decrease,,-0.155608255778978,0.0086900973302461,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
JMY,decrease,,-0.229329350907622,0.000926698089757348,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
JOSD2,increase,,0.218154758023334,0.0090795027161512,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
JPH1,decrease,,-0.479749130481514,4.25152446687988e-14,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
JSRP1,decrease,,-0.171320586682335,0.0134857555145525,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KAL1,decrease,,-0.554968276748134,4.6319796180474e-12,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KALRN,decrease,,-0.201953972735653,0.00104747625637456,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KANK2,increase,,0.191302102444904,0.00131230498363867,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KANK3,increase,,0.364274600062795,0.000111725789737086,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KANSL1L,decrease,,-0.305812817717549,0.000384428991084496,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KANSL2,decrease,,-0.286234752265773,9.78381411390722e-07,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KANSL3,decrease,,-0.166009103602428,0.000762472060191929,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KAT2A,decrease,,-0.294721762465165,0.00143064564621737,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KAT2B,decrease,,-0.352137920738034,2.40544966410817e-09,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KAT6B,decrease,,-0.219884072774542,0.00070561864063882,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KAZALD1,increase,,0.577980232978039,1.36779057731709e-09,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KBTBD10,decrease,,-0.307194978378274,5.03305045894368e-06,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KCMF1,decrease,,-0.247802287074989,6.22720808924498e-06,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KCNA5,increase,,0.319280964429846,0.00481098347400422,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KCNB1,increase,,0.67616073320544,4.00267553346658e-09,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KCNC1,increase,,0.576385561035898,0.00615481526059031,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KCNE3,increase,,0.555153096674345,0.000717622659939176,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KCNIP2,decrease,,-0.400357900558227,0.00126113572397886,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KCNJ3,decrease,,-0.347733385690195,0.0091729217912538,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KCNJ8,increase,,0.485284024966113,6.2004558165575e-09,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KCNMB4,increase,,0.294076162743222,0.00771351893361029,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KCNQ1,increase,,0.563042242815285,0.000227805512193479,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KCNQ5,decrease,,-0.372872587315682,2.97245225075599e-05,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KCNS3,decrease,,-0.2041655537239,0.00189920749423568,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KCTD10,increase,,0.170419452102166,0.00794526570323913,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KCTD15,increase,,0.48525113660573,1.0970426298043e-06,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KCTD17,increase,,0.485602401660884,0.00250685307324873,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KDELC1,increase,,0.665327334792251,8.85674762618155e-06,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KDM2A,decrease,,-0.120002096447693,0.0135106179970835,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KDM3A,decrease,,-0.196370260375731,0.0014572796502839,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KDM3B,decrease,,-0.135558407052111,0.0142623414063536,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KDM5B,increase,,0.282549172195085,0.00015817882207473899,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KDM5C,decrease,,-0.144962179156472,0.00555849786083411,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KDR,increase,,0.831292358463485,4.03995094878237e-17,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KHDRBS3,decrease,,-0.205542565162566,0.00212464411555193,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KIAA0040,increase,,0.214589944800877,0.0016968580607225,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KIAA0182,decrease,,-0.167086829509263,0.00192325821385181,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KIAA0195,decrease,,-0.160409986483712,0.0022368156582234,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KIAA0240,decrease,,-0.192886191134249,0.00298599136829122,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KIAA0368,decrease,,-0.17073412202011,0.0032587273180709,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KIAA0895L,increase,,0.377521076309696,0.000113950355938968,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KIAA0907,decrease,,-0.423702421653953,1.07314242872429e-09,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KIAA0930,decrease,,-0.224334280526262,0.000551301248815787,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KIAA1109,decrease,,-0.246844909052013,0.00232555489552165,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KIAA1143,decrease,,-0.253075017327144,2.29246243901375e-05,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KIAA1432,decrease,,-0.194548763507936,0.00335001119713923,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KIAA1462,increase,,0.412707204843319,5.67447503729765e-07,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KIAA1683,decrease,,-0.364217066776254,0.00594700956840356,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KIAA1704,decrease,,-0.221661183463507,0.000954210384280417,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KIAA1715,decrease,,-0.345461040936601,1.73802683337805e-07,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KIAA1737,decrease,,-0.209751228241473,0.00024174902940532,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KIAA1755,increase,,0.633130303690995,0.0032771681019596,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KIAA2026,decrease,,-0.211448197791546,0.00702112663957716,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KIF13A,decrease,,-0.331728450686399,3.03422674638351e-08,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KIF17,increase,,0.457449498737866,7.52367597069591e-05,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KIF1B,decrease,,-0.32718149368191,3.35509234777086e-07,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KIF22,increase,,0.342352097386632,1.00149903336249e-07,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KIF25,increase,,0.426092290357129,0.00566909574784119,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KIF26A,increase,,0.39696308773128,9.20786376044267e-06,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KIF5B,decrease,,-0.274363277342822,0.000243849279130882,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KIFC3,increase,,0.554684543762362,2.19427985494668e-08,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KIRREL,increase,,0.339737376271539,0.00010069744104184,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KIT,increase,,1.02143737309662,5.80264367828998e-09,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KITLG,increase,,0.409807444694161,0.000183821282202843,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KL,increase,,0.568759927192926,6.73861580527278e-07,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KLF4,decrease,,-0.432716056540514,0.000181153034578498,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KLF5,decrease,,-0.37838562526229,0.000127858593925645,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KLF8,decrease,,-0.241906347947271,0.00206128261788248,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KLF9,decrease,,-0.306651048342337,5.30839126654468e-05,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KLHDC1,decrease,,-0.258964641077412,0.00399513995179038,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KLHL25,increase,,0.33736293671962,0.000347172969783482,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KLHL30,decrease,,-0.157010891785871,0.00384876326985768,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KLHL6,increase,,0.422288133585101,0.00889651320453923,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KLHL8,decrease,,-0.268402352934399,1.37954875619553e-05,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KMT2E-AS1,decrease,,-0.967810540224479,3.97794771925105e-07,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KPNA1,decrease,,-0.165774280270181,0.0030029379498337,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KPNA2,increase,,0.324970551553769,0.0037576523482224,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KPNA3,decrease,,-0.259636416982754,1.30947389040573e-05,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KPNA4,decrease,,-0.183868074619251,0.00142343998192646,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KPNA5,decrease,,-0.254571854098622,0.000271819257811985,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KPTN,increase,,0.306255019440018,0.000130635689075575,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KRBA2,increase,,0.274537699405214,0.000799095161629406,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KREMEN1,decrease,,-0.281451234599954,2.76676362227681e-05,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
KRIT1,decrease,,-0.236757954838713,0.00204646995930326,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
